Name,Address,Address2,Address3,City,State,Zip,License #,Licensure Date,Expiration Date,Role
"ACCELERATED APPRAISAL GROUP, INC.",603 SEAGAZE DRIVE #954,,,OCEANSIDE,CA,92054,426,6/22/2023,11/30/2026,AMC Contact
EA APPRAISALS LLC,500 S MAIN ST,,TEXAS,MANSFIELD,TX,76063,427,7/26/2023,11/30/2026,AMC Contact
"OPTATUS, LLC",1807 SANTA RITA RD,UNIT H-344,,PLEASANTON,CA,94566,424,5/15/2023,11/30/2026,AMC Contact
"IMPACT APPRAISAL MANAGEMENT, LLC",PO BOX 471074,,,CHARLOTTE,NC,28247,430,8/7/2023,11/30/2026,AMC Contact
"INTEGRA AIM, LLC",7800 EAST UNION AVENUE,SUITE 400,,DENVER,CO,80237,429,7/28/2023,11/30/2026,AMC Contact
"WORTH VALUATION SERVICES, INC.",449 TAFT AVE,,,GLEN ELLYN,IL,60137,431,8/28/2023,11/30/2026,AMC Contact
"UNITED ONE RESOURCES, INC.",280 NORTH SHERMAN STREET,,,WILKES BARRE,PA,18702-5316,433,11/30/2023,11/30/2026,AMC Contact
"EVERGREEN APPRAISAL MANAGEMENT, INC.",P.O. BOX 963,,,BREA,CA,92822,439,5/17/2024,11/30/2026,AMC Contact
"ADVANCED APPRAISAL MANAGEMENT SERVICES, LLC",1258 E. HULL DR.,,,WHEATON,IL,60189,441,6/7/2024,11/30/2026,AMC Contact
PRO-MAC APPRAISALS LLC,358 VALLEY VIEW ROAD,,,THOMASTON,CT,6787,438,5/14/2024,11/30/2026,AMC Contact
RE VALUATIONS LLC,1032 E BRANDON BLVD #9078,,,BRANDON,FL,33511,437,4/26/2024,11/30/2026,AMC Contact
"CREST APPRAISAL MANAGEMENT COMPANY, LLC",2135 BUTANO DRIVE,SUITE 100,,SACRAMENTO,CA,95825,440,5/20/2024,11/30/2026,AMC Contact
AMC ENCORE LLC,4007 W 140TH ST,,,LEAWOOD,KS,66224,442,7/25/2024,11/30/2026,AMC Contact
"LEGION VALUATION, INC.","3840 E. ROBINSON RD, SUITE 356",,,AMHERST,NY,14228,443,10/21/2024,11/30/2026,AMC Contact
